RowNumber,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
4999,15792916,Ositadimma,559,Spain,Female,40,7,144470.77,1,1,1,18917.95,0
5000,15710408,Cunningham,584,Spain,Female,38,3,0,2,1,1,4525.4,0
5001,15598695,Fields,834,Germany,Female,68,9,130169.27,2,0,1,93112.2,0
5002,15649354,Johnston,754,Spain,Male,35,4,0,2,1,1,9658.41,0
5003,15737556,Vasilyev,590,France,Male,43,7,81076.8,2,1,1,182627.25,1
5004,15671610,Hooper,740,France,Male,36,7,0,1,1,1,13177.4,0
5005,15625092,Colombo,502,Germany,Female,57,3,101465.31,1,1,0,43568.31,1
5006,15741032,Tsao,733,France,Male,48,5,0,1,0,1,117830.57,0
5007,15750014,Chikere,755,Germany,Female,37,0,113865.23,2,1,1,117396.25,0
5008,15784761,Ballard,554,Spain,Female,46,7,87603.35,3,0,1,96929.24,1
5009,15768359,Akhtar,534,France,Male,36,4,120037.96,1,1,0,36275.94,0
5010,15805769,O'Loughlin,656,Spain,Male,33,4,0,2,1,0,116706,0
5011,15719508,Davis,575,Germany,Male,49,7,121205.15,4,1,1,168080.53,1
5012,15609011,Barry,480,Spain,Male,47,8,75408.33,1,1,0,25887.89,1
5013,15703106,K'ung,575,France,Male,40,5,0,2,1,1,122488.59,0
5014,15626795,Gorman,672,France,Female,40,3,0,1,1,0,113171.61,1
5015,15773731,John,758,Spain,Female,35,5,0,2,0,0,100365.51,0
5016,15756196,Tsou,682,France,Male,50,6,121818.84,2,0,1,124151.37,0
5017,15687903,Okonkwo,501,France,Female,29,8,0,2,1,0,112664.24,0
5018,15777599,Esposito,746,Germany,Male,34,6,141806,2,1,1,183494.87,0
5019,15754577,Boni,556,France,Female,51,8,61354.14,1,1,0,198810.65,1
5020,15584113,Pratt,823,Germany,Female,53,4,124954.94,1,0,1,131259.6,1
5021,15669589,Page,491,Germany,Female,68,1,95039.12,1,0,1,116471.14,1
5022,15632793,Wilkinson,638,France,Female,29,9,103417.74,1,1,1,15336.4,0
5023,15711130,Tseng,734,France,Male,45,2,0,2,1,0,99593.28,0
5024,15615254,Clark,555,France,Male,40,10,43028.77,1,1,0,170514.21,0
5025,15720583,Finch,745,Germany,Female,44,0,119638.21,1,1,1,34265.08,1
5026,15780432,Shen,728,France,Male,37,3,122689.51,2,0,0,106977.53,1
5027,15673223,Hou,626,France,Male,44,10,0,2,0,0,164287.86,0
5028,15807989,Wall,681,Germany,Male,37,8,73179.34,2,1,1,25292.53,0
5029,15761168,Manna,478,France,Female,38,4,171913.87,1,1,0,51820.87,1
5030,15651272,Reyes,709,France,Male,38,5,0,2,1,1,81452.29,0
5031,15812832,Jideofor,562,Germany,Male,33,8,92659.2,2,1,0,1354.25,0
5032,15680517,Sal,769,Germany,Female,34,7,137239.17,1,1,1,71379.92,1
5033,15750569,Iweobiegbunam,684,Germany,Female,46,3,102955.14,2,1,0,154137.33,0
5034,15690743,Shao,536,France,Female,61,8,65190.29,1,1,1,64308.49,1
5035,15627741,Heath,631,Germany,Female,29,2,96863.52,2,1,1,31613.35,0
5036,15712121,Chidimma,657,Spain,Male,34,5,154983.98,1,1,0,27738.01,0
5037,15805429,Murray,699,Germany,Male,59,3,106819.65,1,0,1,163570.25,0
5038,15814923,Sullivan,606,Spain,Male,38,7,128578.52,1,1,1,193878.51,0
5039,15589230,Wu,612,France,Female,63,2,126473.33,1,0,1,147545.65,0
5040,15775490,Downie,660,France,Female,38,5,110570.78,2,1,0,195906.59,0
5041,15749727,Chukwufumnanya,829,Spain,Male,50,7,0,2,0,1,178458.86,0
5042,15619238,Allan,567,Spain,Male,29,8,0,2,1,0,156125.72,0
5043,15593468,Findlay,850,France,Female,33,3,0,2,1,1,11159.19,0
5044,15718454,Ch'eng,712,Spain,Female,44,2,0,2,0,0,45738.94,0
5045,15789498,Miller,562,France,Male,30,3,111099.79,2,0,0,140650.19,0
5046,15744691,Tsai,755,France,Female,29,3,0,3,1,0,4733.94,0
5047,15708289,Graham,793,Spain,Male,25,3,100913.57,1,0,0,10579.72,0
5048,15790412,Norton,471,Spain,Male,26,8,0,2,1,1,179655.87,0
5049,15741416,Yegorov,707,France,Male,42,2,16893.59,1,1,1,77502.56,0
5050,15598894,Holt,784,Spain,Male,38,10,122267.85,1,0,0,145759.93,0
5051,15663294,Kao,703,France,Male,32,1,125685.79,1,1,1,56246.72,0
5052,15572728,Ross,704,Spain,Male,36,8,127397.34,1,1,0,151335.24,0
5053,15706729,Hsiao,662,France,Male,38,0,105271.56,1,0,1,179833.45,0
5054,15674433,Allan,636,Germany,Female,28,2,115265.14,1,0,0,191627.85,0
5055,15641170,Liang,640,Spain,Male,36,4,0,1,0,0,173016.46,0
5056,15806284,Briggs,739,Spain,Male,31,1,0,2,1,1,58469.75,0
